unidade;ano;mes;setor_saida;mp_por_setor_de_saida
CHPB;2022;1;LAR INCLUSIVO;3701,3333333333335
CHPB;2022;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;17,333333333333332
CHPB;2022;1;UNIDADE DE TRATAMENTO CLINICO;1075,0
CHPB;2022;1;UNIDADE INTERNAÇÃO - PSIQUIATRIA;30,785714285714285
CHPB;2022;2;LAR INCLUSIVO E;133,0
CHPB;2022;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;59,625
CHPB;2022;2;UNIDADE DE TRATAMENTO CLINICO;21,0
CHPB;2022;2;UNIDADE INTERNAÇÃO - PSIQUIATRIA;25,470588235294116
CHPB;2022;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;40,2
CHPB;2022;3;UNIDADE INTERNAÇÃO - PSIQUIATRIA;33,421052631578945
CHPB;2022;4;LAR INCLUSIVO;5011,0
CHPB;2022;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;33,0
CHPB;2022;4;UNIDADE DE TRATAMENTO CLINICO;4122,0
CHPB;2022;4;UNIDADE INTERNAÇÃO - PSIQUIATRIA;25,962962962962962
CHPB;2022;5;LAR INCLUSIVO C;2763,5
CHPB;2022;5;LAR INCLUSIVO E;658,0
CHPB;2022;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;26,363636363636363
CHPB;2022;5;UNIDADE DE TRATAMENTO CLINICO;2358,0
CHPB;2022;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;38,523809523809526
CHPB;2022;6;LAR INCLUSIVO;3384,6666666666665
CHPB;2022;6;LAR INCLUSIVO C;3339,0
CHPB;2022;6;LAR INCLUSIVO D;1682,0
CHPB;2022;6;LAR INCLUSIVO E;21461,0
CHPB;2022;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;38,142857142857146
CHPB;2022;6;UNIDADE INTERNAÇÃO - PSIQUIATRIA;36,56521739130435
CHPB;2022;7;LAR INCLUSIVO;18206,0
CHPB;2022;7;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;37,111111111111114
CHPB;2022;7;UNIDADE INTERNAÇÃO - PSIQUIATRIA;39,3
CHPB;2022;8;CAC - CENTRO DE ACOLHIMENTO DE CRISE;24,25
CHPB;2022;8;LAR INCLUSIVO;994,0
CHPB;2022;8;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;77,6
CHPB;2022;8;UNIDADE INTERNAÇÃO - PSIQUIATRIA;32,833333333333336
CHPB;2022;9;CAC - CENTRO DE ACOLHIMENTO DE CRISE;29,272727272727273
CHPB;2022;9;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;41,333333333333336
CHPB;2022;10;CAC - CENTRO DE ACOLHIMENTO DE CRISE;58,041666666666664
CHPB;2022;10;LAR INCLUSIVO B;1554,0
CHPB;2022;10;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;36,76923076923077
CHPB;2022;10;UNIDADE INTERNAÇÃO - PSIQUIATRIA;622,0
CHPB;2022;11;CAC - CENTRO DE ACOLHIMENTO DE CRISE;35,12903225806452
CHPB;2022;11;LAR INCLUSIVO;771,0
CHPB;2022;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;318,26666666666665
CHPB;2022;12;CAC - CENTRO DE ACOLHIMENTO DE CRISE;31,5
CHPB;2022;12;LAR INCLUSIVO D;817,0
CHPB;2022;12;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;55,53333333333333
CHPB;2023;1;CAC - CENTRO DE ACOLHIMENTO DE CRISE;33,074074074074076
CHPB;2023;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;42,0
CHPB;2023;1;UNIDADE INTERNAÇÃO - PSIQUIATRIA;18,0
CHPB;2023;2;CAC - CENTRO DE ACOLHIMENTO DE CRISE;26,681818181818183
CHPB;2023;2;LAR INCLUSIVO;772,0
CHPB;2023;2;LAR INCLUSIVO B;3067,0
CHPB;2023;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;34,46153846153846
CHPB;2023;3;CAC - CENTRO DE ACOLHIMENTO DE CRISE;43,38709677419355
CHPB;2023;3;LAR INCLUSIVO B;771,0
CHPB;2023;3;LAR INCLUSIVO C;5601,0
CHPB;2023;3;LAR INCLUSIVO D;787,0
CHPB;2023;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;35,46666666666667
CHPB;2023;4;CAC - CENTRO DE ACOLHIMENTO DE CRISE;29,96153846153846
CHPB;2023;4;LAR INCLUSIVO;1303,0
CHPB;2023;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;31,72222222222222
CHPB;2023;4;UNIDADE INTERNAÇÃO - PSIQUIATRIA;6,0
CHPB;2023;5;CAC - CENTRO DE ACOLHIMENTO DE CRISE;21,511627906976745
CHPB;2023;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;28,666666666666668
CHPB;2023;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;279,0
CHPB;2023;6;CAC - CENTRO DE ACOLHIMENTO DE CRISE;20,344827586206897
CHPB;2023;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;38,5625
CHPB;2023;6;UNIDADE INTERNAÇÃO - PSIQUIATRIA;17,0
CHPB;2023;7;CAC - CENTRO DE ACOLHIMENTO DE CRISE;34,810810810810814
CHPB;2023;7;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;73,66666666666667
CHPB;2023;8;CAC - CENTRO DE ACOLHIMENTO DE CRISE;30,76
CHPB;2023;8;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;43,68421052631579
CHPB;2023;9;CAC - CENTRO DE ACOLHIMENTO DE CRISE;25,40909090909091
CHPB;2023;9;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;43,18181818181818
CHPB;2023;10;CAC - CENTRO DE ACOLHIMENTO DE CRISE;31,055555555555557
CHPB;2023;10;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;49,07692307692308
CHPB;2023;10;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1393,0
CHPB;2023;11;CAC - CENTRO DE ACOLHIMENTO DE CRISE;82,0
CHPB;2023;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;54,27272727272727
CHPB;2023;12;CAC - CENTRO DE ACOLHIMENTO DE CRISE;40,92857142857143
CHPB;2023;12;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;44,78947368421053
CHPB;2023;12;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1,0
CHPB;2024;1;CAC - CENTRO DE ACOLHIMENTO DE CRISE;34,041666666666664
CHPB;2024;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;39,72222222222222
CHPB;2024;2;CAC - CENTRO DE ACOLHIMENTO DE CRISE;16,529411764705884
CHPB;2024;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;31,3
CHPB;2024;2;UNIDADE INTERNAÇÃO - PSIQUIATRIA;5942,0
CHPB;2024;3;CAC - CENTRO DE ACOLHIMENTO DE CRISE;46,94444444444444
CHPB;2024;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;23,5
CHPB;2024;3;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1494,0
CHPB;2024;4;CAC - CENTRO DE ACOLHIMENTO DE CRISE;24,275862068965516
CHPB;2024;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;24,6
CHPB;2024;5;CAC - CENTRO DE ACOLHIMENTO DE CRISE;25,346153846153847
CHPB;2024;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;35,714285714285715
CHPB;2024;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;44,0
CHPB;2024;6;CAC - CENTRO DE ACOLHIMENTO DE CRISE;26,428571428571427
CHPB;2024;6;UIP-MASCULINA/CHPB/CHB;24,75
CHPB;2024;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;36,23076923076923
CHPB;2024;6;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;8,0
CHPB;2024;7;UIP-FEMININA/CHPB/CHB;40,5
CHPB;2024;7;UIP-MASCULINA/CHPB/CHB;85,66666666666667
CHPB;2024;7;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;37,72222222222222
CHPB;2024;8;LAR INCLUSIVO A/CHPB/CHB;1332,0
CHPB;2024;8;UIP-FEMININA/CHPB/CHB;43,666666666666664
CHPB;2024;8;UIP-MASCULINA/CHPB/CHB;24,642857142857142
CHPB;2024;8;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;27,375
CHPB;2024;9;CAC/CHPB/CHB;1680,0
CHPB;2024;9;LAR INCLUSIVO B/CHPB/CHB;4235,0
CHPB;2024;9;UIP-FEMININA/CHPB/CHB;21,9
CHPB;2024;9;UIP-MASCULINA/CHPB/CHB;19,6
CHPB;2024;9;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;41,92307692307692
CHPB;2024;10;LAR INCLUSIVO B/CHPB/CHB;3594,0
CHPB;2024;10;UIP-FEMININA/CHPB/CHB;14,75
CHPB;2024;10;UIP-MASCULINA/CHPB/CHB;22,2
CHPB;2024;10;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;36,74074074074074
CHPB;2024;11;CAC/CHPB/CHB;22,0
CHPB;2024;11;LAR INCLUSIVO B/CHPB/CHB;577,0
CHPB;2024;11;UIP-FEMININA/CHPB/CHB;108,9090909090909
CHPB;2024;11;UIP-MASCULINA/CHPB/CHB;39,11764705882353
CHPB;2024;11;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;20,294117647058822
CHPB;2024;12;LAR INCLUSIVO A/CHPB/CHB;768,25
CHPB;2024;12;LAR INCLUSIVO B/CHPB/CHB;2577,0
CHPB;2024;12;UIP-FEMININA/CHPB/CHB;20,583333333333332
CHPB;2024;12;UIP-MASCULINA/CHPB/CHB;16,541666666666668
CHPB;2024;12;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;31,8125
CHPB;2025;1;CAC/CHPB/CHB;12,0
CHPB;2025;1;LAR INCLUSIVO A/CHPB/CHB;1442,0
CHPB;2025;1;LAR INCLUSIVO B/CHPB/CHB;1910,75
CHPB;2025;1;UIP-FEMININA/CHPB/CHB;22,428571428571427
CHPB;2025;1;UIP-MASCULINA/CHPB/CHB;18,5
CHPB;2025;1;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;37,6
CHPB;2025;2;UIP-FEMININA/CHPB/CHB;21,09090909090909
CHPB;2025;2;UIP-MASCULINA/CHPB/CHB;18,3125
CHPB;2025;2;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;48,875
CHPB;2025;3;LAR INCLUSIVO B/CHPB/CHB;1346,0
CHPB;2025;3;UIP-FEMININA/CHPB/CHB;26,818181818181817
CHPB;2025;3;UIP-MASCULINA/CHPB/CHB;21,761904761904763
CHPB;2025;3;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;27,0
CHPB;2025;4;LAR INCLUSIVO B/CHPB/CHB;2745,0
CHPB;2025;4;UIP-FEMININA/CHPB/CHB;20,46153846153846
CHPB;2025;4;UIP-MASCULINA/CHPB/CHB;31,647058823529413
CHPB;2025;4;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;48,04545454545455
CHPB;2025;5;LAR INCLUSIVO A/CHPB/CHB;2503,0
CHPB;2025;5;LAR INCLUSIVO B/CHPB/CHB;224,0
CHPB;2025;5;UIP-FEMININA/CHPB/CHB;19,125
CHPB;2025;5;UIP-MASCULINA/CHPB/CHB;21,666666666666668
CHPB;2025;5;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;32,36363636363637
CHPB;2025;6;LAR INCLUSIVO A/CHPB/CHB;6434,0
CHPB;2025;6;UIP-FEMININA/CHPB/CHB;97,0
CHPB;2025;6;UIP-MASCULINA/CHPB/CHB;20,318181818181817
CHPB;2025;6;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;27,38095238095238
CHPB;2025;7;UIP-FEMININA/CHPB/CHB;22,285714285714285
CHPB;2025;7;UIP-MASCULINA/CHPB/CHB;29,0
CHPB;2025;7;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;23,166666666666668
CHPB;2025;8;UIP-FEMININA/CHPB/CHB;22,333333333333332
CHPB;2025;8;UIP-MASCULINA/CHPB/CHB;21,4
CHPB;2025;8;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;64,21052631578948
CHPB;2025;9;LAR INCLUSIVO A/CHPB/CHB;2856,0
CHPB;2025;9;UIP-FEMININA/CHPB/CHB;21,4
CHPB;2025;9;UIP-MASCULINA/CHPB/CHB;17,4
CHPB;2025;9;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;21,642857142857142
CHPB;2025;10;CAC/CHPB/CHB;23,0
CHPB;2025;10;UIP-FEMININA/CHPB/CHB;24,0
CHPB;2025;10;UIP-MASCULINA/CHPB/CHB;22,058823529411764
CHPB;2025;10;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;23,38888888888889
CHPB;2025;11;UIP-FEMININA/CHPB/CHB;16,333333333333332
CHPB;2025;11;UIP-MASCULINA/CHPB/CHB;41,0
CHPB;2025;11;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;73,2
CHPB;2025;12;UIP-FEMININA/CHPB/CHB;75,0
CHPB;2025;12;UIP-MASCULINA/CHPB/CHB;26,5
CHPB;2025;12;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;39,57142857142857
CSSFA;2022;1;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;49,59090909090909
CSSFA;2022;2;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;49,15384615384615
CSSFA;2022;3;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;48,608695652173914
CSSFA;2022;4;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;42,833333333333336
CSSFA;2022;5;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;40,35
CSSFA;2022;6;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;44,625
CSSFA;2022;6;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;10,5
CSSFA;2022;7;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;41,58620689655172
CSSFA;2022;7;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;21,0
CSSFA;2022;8;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;54,26086956521739
CSSFA;2022;9;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;50,416666666666664
CSSFA;2022;9;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;62,333333333333336
CSSFA;2022;10;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;62,47826086956522
CSSFA;2022;11;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;46,26086956521739
CSSFA;2022;12;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;50,148148148148145
CSSFA;2023;1;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;41,61538461538461
CSSFA;2023;2;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;45,583333333333336
CSSFA;2023;3;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;53,875
CSSFA;2023;3;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;2,0
CSSFA;2023;4;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;55,388888888888886
CSSFA;2023;5;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;75,78571428571429
CSSFA;2023;5;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;7,5
CSSFA;2023;6;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;47,25
CSSFA;2023;6;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;6,5
CSSFA;2023;7;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;47,416666666666664
CSSFA;2023;7;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;8,5
CSSFA;2023;8;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;79,83333333333333
CSSFA;2023;8;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;25,0
CSSFA;2023;9;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;73,36363636363636
CSSFA;2023;9;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;8,666666666666666
CSSFA;2023;10;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;51,0
CSSFA;2023;10;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;3,8
CSSFA;2023;11;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;67,91666666666667
CSSFA;2023;11;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;3,0
CSSFA;2023;12;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;57,421052631578945
CSSFA;2024;1;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;42,642857142857146
CSSFA;2024;2;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;51,5
CSSFA;2024;3;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;47,233333333333334
CSSFA;2024;4;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;49,416666666666664
CSSFA;2024;5;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;84,95833333333333
CSSFA;2024;6;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;56,166666666666664
CSSFA;2024;7;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;50,54545454545455
CSSFA;2024;8;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;35,714285714285715
CSSFA;2024;9;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;51,35
CSSFA;2024;10;UNIDADE DE INTERNACAO CCI Cuidados Continuados Integ;49,17857142857143
